Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 FA / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https FA | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https S | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 SA | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
